component_name,unit_name,operand_name,current_state,event_type,route_path,http_method,next_state,description
workload,workflow,register,PAUSED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for workflow from PAUSED to COMPLETED
workload,workflow,register,PAUSED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for workflow from PAUSED to TERMINATED
workload,workflow,register,PAUSED,WorkloadRegisterContinued,/workload/register,POST,CONTINUED,Register Workload for workflow from PAUSED to CONTINUED
workload,workflow,register,CONTINUED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for workflow from CONTINUED to FAILED
workload,workflow,register,CONTINUED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for workflow from CONTINUED to COMPLETED
workload,workflow,register,CONTINUED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for workflow from CONTINUED to TERMINATED
workload,workflow,register,CONTINUED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for workflow from CONTINUED to PAUSED
workload,workflow,register,RESTARTED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for workflow from RESTARTED to FAILED
workload,workflow,register,RESTARTED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for workflow from RESTARTED to COMPLETED
workload,workflow,register,RESTARTED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for workflow from RESTARTED to TERMINATED
workload,workflow,register,RESTARTED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for workflow from RESTARTED to PAUSED
workload,workflow,register,RESTARTED,WorkloadRegisterContinued,/workload/register,POST,CONTINUED,Register Workload for workflow from RESTARTED to CONTINUED
workload,step,register,REQUESTED,WorkloadRegisterRegistered,/workload/register,POST,REGISTERED,Register Workload for step from REQUESTED to REGISTERED
workload,step,register,REQUESTED,WorkloadRegisterCanceled,/workload/register,POST,CANCELED,Register Workload for step from REQUESTED to CANCELED
workload,step,register,REGISTERED,WorkloadRegisterStarted,/workload/register,POST,STARTED,Register Workload for step from REGISTERED to STARTED
workload,step,register,REGISTERED,WorkloadRegisterCanceled,/workload/register,POST,CANCELED,Register Workload for step from REGISTERED to CANCELED
workload,step,register,STARTED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for step from STARTED to FAILED
workload,step,register,STARTED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for step from STARTED to COMPLETED
workload,step,register,STARTED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for step from STARTED to TERMINATED
workload,step,register,STARTED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for step from STARTED to PAUSED
workload,step,register,FAILED,WorkloadRegisterRestarted,/workload/register,POST,RESTARTED,Register Workload for step from FAILED to RESTARTED
workload,step,register,TERMINATED,WorkloadRegisterRestarted,/workload/register,POST,RESTARTED,Register Workload for step from TERMINATED to RESTARTED
workload,step,register,PAUSED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for step from PAUSED to COMPLETED
